time,Alumni_Hall_PCHWS_T value,CAFE_103_Indoor_Unit_50 localSetpoint,AHU_1 outdoorAirTemp,AHU_1 supplyAirTemp,AHU_1 supplyAirTempSetpoint,WeatherDataProfile humidity,MEMORIAL_HALL_202_Indoor_Unit_67 localSetpoint,Alumni_Hall_PCHW_Flow value,HW_BTU_METER currentKbtuDeltaReading,EXERCISE_ROOM_002_Indoor_Unit_1 localSetpoint,CORRIDOR_302_Indoor_Unit_30 localSetpoint,COORIDOR_006A_Indoor_Unit_34 localSetpoint,OFFICE_305_Indoor_Unit_74 localSetpoint,CHW_BTU_METER currentKbtuDeltaReading,HWSP_STPT value,CORRIDOR_108_Indoor_Unit_60 localSetpoint,MEETING_117A_Indoor_Unit_63 localSetpoint,HWS_T value,HX_Valve_1 valvePosition,OFFICE_115_Indoor_Unit_77 localSetpoint,CORRIDOR_203_Indoor_Unit_64 localSetpoint,TUTORING_010_Indoor_Unit_10 localSetpoint,ElectricMeterProfile currentKbtuDeltaReading,HWR_T value,CLASS_ROOM_201_Indoor_Unit_100 localSetpoint,LOUNGE_100_Indoor_Unit_40 localSetpoint,Hot_Water_Flow_AI_2 value,READING_ROOM_206_Indoor_Unit_108 localSetpoint,WRITING_STUDIO_113_Indoor_Unit_20 localSetpoint
2020-05-10 16:00:00+00:00,48.564136505127,72.0,69.36048126220703,70.5417709350586,72.0,36.014522552490234,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010824725031852722,93.773551940918,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:05:00+00:00,48.564136505127,72.0,69.36048126220703,70.8388442993164,72.0,36.014522552490234,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010821446776390076,93.773551940918,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:10:00+00:00,48.564136505127,72.0,69.36048126220703,70.8388442993164,72.0,35.61722946166992,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010843425989151,93.3791732788086,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,13.06658935546875,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:15:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,71.3656005859375,35.43739700317383,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010859649628400803,92.9700775146484,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:20:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,35.39681625366211,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010822173207998276,92.9700775146484,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:25:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,35.39681625366211,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.001082434318959713,92.9700775146484,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,13.021958351135254,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:30:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,35.24855422973633,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010820729658007622,92.9700775146484,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:35:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,35.24855422973633,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010820729658007622,92.1829452514648,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,0.0,94.9695816040039,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:40:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,34.971736907958984,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010822182521224022,92.1829452514648,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,12.593666076660156,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:45:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,34.971736907958984,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010491181164979935,91.7978744506836,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:50:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,34.418697357177734,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010839104652404785,91.39990234375,72.0,87.0,96.8286514282227,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 16:55:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,34.418697357177734,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010823272168636322,91.39990234375,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,12.476561546325684,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:00:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,34.310909271240234,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010823635384440422,91.0168762207031,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:05:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,34.310909271240234,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010823262855410576,91.0168762207031,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:10:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,33.93130874633789,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.001082252711057663,91.0168762207031,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:15:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,33.93130874633789,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0010821456089615822,90.6014633178711,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:20:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,33.6788215637207,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0008583450689911842,90.2179412841797,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:25:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,33.6788215637207,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.000814937986433506,90.0,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,25.36831283569336,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:30:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,33.53033447265625,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0008158590644598007,90.0,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:35:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,33.22616958618164,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0008148029446601868,90.0,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:40:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,33.22616958618164,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0008133957162499428,90.0,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,13.14274787902832,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:45:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,33.10074996948242,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0008134767413139343,90.0,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
2020-05-10 17:50:00+00:00,48.564136505127,72.0,69.66220092773438,70.8388442993164,72.0,33.10074996948242,72.0,0.000720215728506446,0.0,72.0,72.0,72.0,70.0,0.0008135847747325897,90.0,72.0,87.0,96.5254287719727,0.0,77.0,72.0,72.0,0.0,94.6257171630859,72.0,72.0,0.0,72.0,76.0
